B,I,N,G,O
MVOD,millennials,innovators dilemma,,
NPR One,monetize,CMS,transformation,big data
data sharing,responsive,stations,data strategy,mobile first
CRM,iterate,pledge drive,focus,iterate
APIs,scale,membership,lean,pivot
PMP,platform,Digital Sponsorship,pivot,ideate
Digital Natives,silos,Current,metrics,audience first
user focused,,,,
